overall_pick,year,team,player,college/former,position,height,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists,spg,bpg,fg%,3-fg%,ft%
32,2007,Washington Mystics,Gillian Goring,NC State,null,null,1,21,0.7,0.176,7.4,2.6,2,0.1,null,null,null,null,null
33,2007,Seattle Storm,Brandie Hoskins,Ohio State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2007,Houston Comets,Kristen Newlin,Stanford,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2007,Indiana Fever,Ashley Key,NC State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
36,2007,Sacramento Monarchs,Meg Bulger,West Virginia,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
37,2007,Phoenix Mercury,Emily Westerberg,Arizona State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
38,2007,Los Angeles Sparks,Amanda Brown,Penn State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
39,2007,Connecticut Sun,Kiera Hardy,Nebraska,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2006,Minnesota Lynx,Seimone Augustus,LSU,Guard-Forward,6'0,15,391,41.9,0.149,28.8,15.4,3.1,2.3,0.7,0.3,48%,36.3%,85.4%
2,2006,Phoenix Mercury,Cappie Pondexter,Rutgers University,Guard,5'9,13,416,37.6,0.118,30.7,16.4,3.7,3.8,1,0.2,42.2%,35%,84.2%
3,2006,Charlotte Sting,Monique Currie,Duke,Forward,6'0,13,411,29.3,0.12,23.7,10.3,4.1,1.8,0.9,0.3,40.1%,33.8%,82.3%
4,2006,San Antonio Silver Stars,Sophia Young-Malcolm,Baylor,Forward,6'1,9,301,34.7,0.15,30.8,14.3,6,1.8,1.6,0.4,46.7%,22.3%,71.8%
5,2006,Los Angeles Sparks,Lisa Willis,UCLA,Guard,6'1,4,84,2.5,0.097,12.1,4.5,1.6,0.4,0.8,0.1,39.1%,39.7%,79.5%
6,2006,Chicago Sky,Candice Dupree,Temple,Forward,6'2,16,494,44.2,0.117,30.7,14,6.4,1.8,0.9,0.6,49.5%,24.4%,82.1%
7,2006,Minnesota Lynx,Shona Thorburn,Utah,Guard,5'9,2,24,-0.6,-0.154,6.3,0.8,0.8,0.8,0.2,0.1,20.7%,12.5%,62.5%
8,2006,Washington Mystics,Tamara James,Miami (FL),Guard-Forward,5'10,2,52,1.6,0.114,10.7,4.3,1.3,0.7,0.6,0.1,38.8%,33.9%,85.9%
9,2006,Indiana Fever,La'Tangela Atkinson,UNC,Guard-Forward,6'1,4,68,0.7,0.037,11.2,2.6,2.2,0.7,0.6,0.2,43%,23.8%,54.7%
10,2006,Charlotte Sting,Tye'sha Fluker,Tennessee,Center,6'5,3,78,-0.5,-0.027,8.9,2.4,1.6,0.3,0.1,0.4,34.6%,25%,71.4%
11,2006,Seattle Storm,Barbara Turner,UConn,Guard-Forward,5'10,4,97,5.1,0.121,17.4,6.3,2.6,1.4,0.4,0.2,40.7%,30.5%,77.4%
12,2006,New York Liberty,Sherill Baker,Georgia,Guard,5'8,4,75,0.7,0.023,16.5,6.9,2,1.7,1.2,0.1,36.3%,25%,82.5%
13,2006,Sacramento Monarchs,Kim Smith,Utah,Forward,6'0,3,55,-0.1,-0.009,8.4,1.9,1,0.5,0.3,0,33.3%,40.6%,55.6%
14,2006,Sacramento Monarchs,Scholanda Dorrell,LSU,Guard,5'11,7,222,1.5,0.015,17.7,6.6,1.5,0.8,1,0.2,37.2%,31.1%,71.2%
15,2006,Houston Comets,Ann Strother,UConn,null,null,3,41,0.5,0.076,6.5,2,0.7,0.3,null,null,null,null,null
16,2006,San Antonio Silver Stars,Shanna Zolman,Tennessee,null,null,4,117,2.6,0.054,16.3,7.9,1.2,1,null,null,null,null,null
17,2006,Detroit Shock,Ambrosia Anderson,BYU,null,null,1,4,0,-0.11,2.5,0,1,0,null,null,null,null,null
18,2006,Phoenix Mercury,Liz Moeggenberg,Michigan State,null,null,2,50,-0.3,-0.022,9.6,1.9,1.5,0.5,null,null,null,null,null
19,2006,Washington Mystics,Nikki Blue,UCLA,null,null,5,111,0.3,0.01,11.8,2.7,1.3,1.6,null,null,null,null,null
20,2006,Chicago Sky,Jennifer Harris,Washburn University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
21,2006,Phoenix Mercury,Mistie Bass,Duke,null,null,10,285,12.6,0.124,14.3,4.6,3.1,0.7,null,null,null,null,null
22,2006,Los Angeles Sparks,Willnett Crockett,UConn,null,null,1,5,0.1,0.098,8.2,1.8,2.2,0,null,null,null,null,null
23,2006,New York Liberty,Brooke Queenan,Boston College,null,null,2,12,-0.3,-0.265,3.8,0.3,0.3,0.2,null,null,null,null,null
24,2006,Houston Comets,Renae Camino,AIS (Australia),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
25,2006,Seattle Storm,Dalila Eshe,Florida,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
26,2006,Indiana Fever,Kasha Terry,Georgia Tech,null,null,3,41,-0.8,-0.077,9.9,3.1,2.4,0.3,null,null,null,null,null
27,2006,Charlotte Sting,LaToya Bond,Missouri,null,null,2,66,-0.4,-0.016,14.1,4,1.2,1.5,null,null,null,null,null
28,2006,Connecticut Sun,Debbie Merrill,Ohio State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
29,2006,Houston Comets,Tiffany Stansbury,NC State,null,null,3,39,0.6,0.05,12.1,3.6,3.5,0.4,null,null,null,null,null
30,2006,San Antonio Silver Stars,Khara Smith,DePaul,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
31,2006,Minnesota Lynx,Megan Duffy,Notre Dame,null,null,3,42,0,-0.002,11.5,2.9,0.9,1.1,null,null,null,null,null
32,2006,Phoenix Mercury,Crystal Smith,Iowa,null,null,3,78,1,0.03,16.3,4.5,1.3,1.5,null,null,null,null,null
33,2006,Washington Mystics,Mariam Sy,Oklahoma City University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2006,Chicago Sky,Kerri Gardin,Virginia Tech,null,null,4,120,1.7,0.04,14.4,3.2,3,1,null,null,null,null,null
35,2006,Detroit Shock,Zane Tamane,Western Illinois University,null,null,2,18,0.2,0.062,6.5,1.6,1.7,0.1,null,null,null,null,null
36,2006,Los Angeles Sparks,Tiffany Porter-Talbert,Western Kentucky,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
37,2006,New York Liberty,Christelle N'Garsanet,Missouri,null,null,1,15,-0.3,-0.116,6.1,1.8,1.2,0.3,null,null,null,null,null
38,2006,Indiana Fever,Jessica Foley,Duke,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
39,2006,Seattle Storm,Erin Grant,Texas Tech,null,null,1,17,0.2,0.047,12.4,1.5,1.1,2.2,null,null,null,null,null
40,2006,Indiana Fever,Marina Kuzina,Nadezhda Orenburg (Russia),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
41,2006,Sacramento Monarchs,Lamisha Augustine,San Jose State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
42,2006,Connecticut Sun,Marita Payne,Auburn,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2005,Charlotte Sting,Janel McCarville,Minnesota,Forward-Center,6'2,9,286,20.3,0.133,21.3,7.7,4.4,1.9,1,0.7,49.1%,27.8%,77.4%
2,2005,Indiana Fever,Tan White,Mississippi State,Guard,5'7,10,320,10.9,0.061,22.1,8.1,2.4,1.8,1.1,0.2,37.5%,32%,80.8%
3,2005,Phoenix Mercury,Sandora Irvin,TCU,Forward,6'3,6,111,1,0.049,7.1,1.7,2,0.3,0.2,0.5,33.3%,19.4%,69.4%
4,2005,San Antonio Silver Stars,Kendra Wecker,Kansas State,Forward,5'11,4,58,-0.3,-0.017,12.2,3.7,1.8,1,0.3,0.1,33.1%,28.6%,75.8%
5,2005,Houston Comets,Sancho Lyttle,Houston,Forward,6'5,15,392,35.7,0.152,23.9,8.9,6.6,1.5,1.6,0.6,47.3%,25.5%,70.4%
6,2005,Washington Mystics,Temeka Johnson,LSU,Guard,5'3,11,327,10.9,0.055,24.3,8,2.7,4.2,1,0.1,40.7%,34.5%,82.5%
7,2005,Detroit Shock,Kara Braxton,Georgia,Center-Forward,6'6,10,297,8.6,0.071,16.4,7.6,4.7,0.9,0.6,0.5,47.4%,28%,64.1%
8,2005,Connecticut Sun,Katie Mattera,Liberty,Center,6'7,5,150,5.1,0.088,15.4,6.7,4.7,0.3,0.2,0.9,49.7%,0%,68.9%
9,2005,Sacramento Monarchs,Kristin Haynie,Michigan State,Guard,5'9,5,160,1.7,0.03,14.1,3.5,1.6,1.8,0.9,0.1,35.2%,25.2%,79.8%
10,2005,New York Liberty,Loree Moore,Tennessee,Guard,5'9,5,155,5.1,0.05,26.2,6,3.5,3.7,1.7,0.1,36.3%,33.7%,67.4%
11,2005,Minnesota Lynx,Kristen Mann,UC Santa Barbara,Forward,6'2,6,130,3,0.052,17.9,5,2.4,1.3,0.5,0.2,39%,33.9%,76.3%
12,2005,Seattle Storm,Tanisha Wright,Penn State,Guard,5'11,14,457,19.8,0.073,23.7,7.3,2.6,3.1,0.9,0.2,42.4%,30.8%,83.3%
13,2005,Detroit Shock,Dionnah Jackson,Oklahoma,Guard,5'9,0,null,null,null,null,null,null,null,null,null,null,null,null
14,2005,San Antonio Silver Stars,Shyra Ely-Gash,Tennessee,null,null,6,173,0.5,0.01,12.6,4,2.2,0.5,null,null,null,null,null
15,2005,Houston Comets,Roneeka Hodges,Florida State,null,null,11,320,8.9,0.06,18.4,6,1.8,1.1,null,null,null,null,null
16,2005,Indiana Fever,Yolanda Paige,West Virginia,null,null,1,13,0,-0.02,6,1.2,0.7,1,null,null,null,null,null
17,2005,Minnesota Lynx,Jacqueline Batteast,Notre Dame,null,null,2,34,-0.2,-0.03,6.5,1.1,0.9,0.3,null,null,null,null,null
18,2005,Phoenix Mercury,Angelina Williams,Illinois,null,null,2,37,-0.1,-0.014,7.5,2.2,1,0.6,null,null,null,null,null
19,2005,Washington Mystics,Erica Taylor,Louisiana Tech,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
20,2005,Detroit Shock,Nikita Bell,UNC,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
21,2005,Connecticut Sun,Erin Phillips,Adelaide Lightning (Australia),null,null,9,229,13.1,0.115,20,6.3,2.2,2,null,null,null,null,null
22,2005,Sacramento Monarchs,Chelsea Newton,Rutgers University,null,null,5,144,5.1,0.073,19.4,5.1,1.8,1.6,null,null,null,null,null
23,2005,New York Liberty,Tabitha Pool,Michigan,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
24,2005,Charlotte Sting,Jessica Moore,UConn,null,null,9,222,3.1,0.042,13.2,2.9,2,0.4,null,null,null,null,null
25,2005,Seattle Storm,Ashley Battle,UConn,null,null,6,142,2.8,0.052,15.1,5,2.4,1.1,null,null,null,null,null
26,2005,Los Angeles Sparks,DeeDee Wheeler,Arizona,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
27,2005,San Antonio Silver Stars,Cathrine Kraayeveld,Oregon,null,null,9,275,10.5,0.069,22.2,7,3.7,1.1,null,null,null,null,null
28,2005,Houston Comets,Jenni Dant,DePaul,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
29,2005,Indiana Fever,Ashley Earley,Vanderbilt,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
30,2005,Sacramento Monarchs,Anne O'Neil,Iowa State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
31,2005,Phoenix Mercury,Jamie Carey,Texas,null,null,4,105,2.8,0.088,12.3,3.1,0.9,1.1,null,null,null,null,null
32,2005,Washington Mystics,Tashia Morehead,Florida,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2005,Detroit Shock,Jenni Lingor,Missouri State University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2005,Connecticut Sun,Megan Mahoney,Kansas State,null,null,2,49,0.2,0.019,9.6,2.2,1.6,0.7,null,null,null,null,null
35,2005,Sacramento Monarchs,Cisti Greenwalt,Texas Tech,null,null,1,5,-0.1,-0.165,4.8,0.4,1.6,0,null,null,null,null,null
36,2005,New York Liberty,Rebecca Richman,Rutgers University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
37,2005,Minnesota Lynx,Monique Bivins,Alabama,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
38,2005,Seattle Storm,Steffanie Blackmon,Baylor,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
39,2005,Los Angeles Sparks,Heather Schreiber,Texas,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2004,Phoenix Mercury,Diana Taurasi,UConn,Guard,6'0,18,503,71.2,0.183,31,19.3,3.9,4.3,0.9,0.6,42.6%,36.1%,87.1%
2,2004,Washington Mystics,Alana Beard,Duke,Guard-Forward,5'11,14,420,33.1,0.107,29.4,11.3,3.4,2.5,1.7,0.5,43.4%,33.6%,76.5%
3,2004,Charlotte Sting,Nicole Powell,Stanford,Forward,6'2,11,360,30.3,0.134,25.1,9.5,4.1,1.6,1,0.3,39%,37.4%,82.9%
4,2004,Connecticut Sun,Lindsay Whalen,Minnesota,Guard,5'9,15,480,59.8,0.176,28.3,11.5,3.8,4.9,1,0.1,46.1%,29.1%,81.2%
5,2004,New York Liberty,Shameka Christon,Arkansas,Guard,6'3,11,317,16.2,0.087,23.5,9.6,2.7,1.2,0.6,0.5,37.6%,34.2%,82.2%
6,2004,Minnesota Lynx,Nicole Ohlde,Kansas State,Forward-Center,6'5,7,223,10.4,0.08,23.5,8.8,4.7,1.5,0.4,0.8,43.7%,0%,75.5%
7,2004,Minnesota Lynx,Vanessa Hayden,Florida,Center,6'4,5,148,2.2,0.045,13.1,5.6,3.6,0.5,0.3,1.2,42.3%,0%,59.2%
8,2004,Phoenix Mercury,Chandi Jones,Houston,Guard,5'9,3,68,1.7,0.066,15.4,4.9,1.5,1.5,0.7,0.1,38%,38.1%,100%
9,2004,Indiana Fever,Ebony Hoffman,USC,Forward,6'2,11,327,14.3,0.088,20,5.8,4.2,1.1,0.9,0.4,41.1%,34.5%,83.6%
10,2004,Sacramento Monarchs,Rebekkah Brunson,Georgetown,Forward,6'2,15,453,48.6,0.17,25.2,9.2,7.4,1.1,0.9,0.6,46%,35.5%,68.4%
11,2004,Detroit Shock,Iciss Tillis,Duke,Forward-Center,6'5,3,67,-0.3,-0.018,8.6,2.6,1.5,0.4,0.3,0.2,40.4%,24.5%,67.6%
12,2004,Los Angeles Sparks,Christi Thomas,Georgia,Forward-Center,6'4,7,170,6.5,0.101,15.3,4.6,3.7,0.6,0.5,0.4,45.9%,27%,68.4%
13,2004,Detroit Shock,Shereka Wright,Purdue,Forward,5'10,2,49,1,0.07,12,3.1,1.6,0.6,0.3,0.1,36.6%,35.4%,71.4%
14,2004,Phoenix Mercury,Ashley Robinson,Tennessee,null,null,10,292,-0.1,-0.001,12.3,1.9,2.5,0.5,null,null,null,null,null
15,2004,Washington Mystics,Kaayla Chones,NC State,null,null,3,28,-0.3,-0.073,6.8,1.5,0.8,0.2,null,null,null,null,null
16,2004,Connecticut Sun,Jessica Brungo,Penn State,null,null,3,49,0,-0.003,7.5,1.1,0.9,0.6,null,null,null,null,null
17,2004,New York Liberty,Amisha Carter,Louisiana Tech,null,null,2,5,-0.1,-0.179,5.2,0.2,1.2,0,null,null,null,null,null
18,2004,Charlotte Sting,Kelly Mazzante,Penn State,null,null,7,200,3.9,0.054,14.4,4.7,1.6,0.9,null,null,null,null,null
19,2004,Seattle Storm,Trina Frierson,Louisiana Tech,null,null,1,5,0,-0.006,4.4,1.4,1,0,null,null,null,null,null
20,2004,Minnesota Lynx,Tasha Butts,Tennessee,null,null,1,30,0.6,0.054,14.1,2.5,2.1,0.8,null,null,null,null,null
21,2004,San Antonio Silver Stars,Cindy Dallas,Illinois,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
22,2004,Charlotte Sting,Jenni Benningfield,Vanderbilt,null,null,1,10,0,0.023,5.2,0.9,0.6,0.4,null,null,null,null,null
23,2004,Detroit Shock,Erika Valek,Purdue,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
24,2004,Connecticut Sun,Ugo Oha,George Washington,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
25,2004,Los Angeles Sparks,Doneeka Lewis,LSU,null,null,6,110,0.2,0.004,14.2,3.7,1.2,1.6,null,null,null,null,null
26,2004,Houston Comets,Lindsay Taylor,UC Santa Barbara,null,null,1,5,0,-0.011,5.2,0.6,0.6,0.4,null,null,null,null,null
27,2004,Phoenix Mercury,Maria Villarroel,Oklahoma,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
28,2004,Washington Mystics,Evan Unrau,Missouri,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
29,2004,Connecticut Sun,Candace Futrell,Duquesne,null,null,1,20,0.3,0.091,7.2,2.1,1,0.5,null,null,null,null,null
30,2004,New York Liberty,Cathy Joens,George Washington,null,null,2,45,1.3,0.099,12.1,4.3,1.5,1,null,null,null,null,null
31,2004,Indiana Fever,Ieva Kublina,Virginia Tech,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
32,2004,Detroit Shock,Jennifer Smith,Michigan,null,null,1,2,0,-0.221,3.5,0,0,0,null,null,null,null,null
33,2004,Minnesota Lynx,Amber Jacobs,Boston College,null,null,5,139,0.2,0.003,15.8,4.4,1.3,2.1,null,null,null,null,null
34,2004,San Antonio Silver Stars,Toccara Williams,Texas A&M,null,null,1,26,0.2,0.021,16,2.1,1.5,1.7,null,null,null,null,null
35,2004,Charlotte Sting,Jia Perkins,Texas Tech,null,null,14,417,28.3,0.111,24.4,10.6,2.9,2,null,null,null,null,null
36,2004,Sacramento Monarchs,Nuria Martinez,Spain,null,null,2,16,-0.4,-0.124,8.1,1.7,0.7,0.7,null,null,null,null,null
37,2004,Houston Comets,Stacy Stephens,Texas,null,null,1,7,0,-0.049,5.1,0.6,1.3,0.4,null,null,null,null,null
38,2004,Minnesota Lynx,Kate Bulger,West Virginia,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2003,Cleveland Rockers,LaToya Thomas,Mississippi State,Forward,6'2,6,150,9.4,0.112,22.4,9.3,3.6,1.1,0.6,0.3,46%,39.7%,81.1%
2,2003,Sacramento Monarchs,Chantelle Anderson,Vanderbilt,Center,6'6,5,124,0.8,0.021,12.7,4.1,2,0.3,0.2,0.3,46.9%,0%,73%
3,2003,Detroit Shock,Cheryl Ford,Louisiana Tech,Forward,6'3,7,196,23.6,0.169,28.4,10.8,9.7,1,1.1,0.8,45.8%,20%,59.6%
4,2003,Phoenix Mercury,Plenette Pierson,Texas Tech,Forward,6'2,15,444,25.2,0.102,22.2,9.6,4.1,1.5,0.7,0.5,43.9%,30.2%,74.4%
5,2003,Detroit Shock,Kara Lawson,Tennessee,Guard,5'9,13,377,35.2,0.152,24.5,9.8,2.6,2.5,0.5,0.1,42.3%,39.5%,89.2%
6,2003,Indiana Fever,Gwen Jackson,Tennessee,Forward,6'3,3,77,2.3,0.061,19.8,5.7,4,0.5,0.3,0.3,42.7%,20%,65.9%
7,2003,Washington Mystics,Aiysha Smith,LSU,Forward,6'2,2,60,0.1,0.006,13.8,3.7,2.2,0.4,0.5,0.4,37.2%,28%,57.4%
8,2003,Seattle Storm,Jung Sun-Min,Gwangju Sinsegye Coolcats (South Korea),Center,6'1,1,17,0.1,0.018,6.9,1.8,0.6,0.1,0.3,0,40.6%,0%,100%
9,2003,Charlotte Sting,Jocelyn Penn,South Carolina,Forward,6'0,2,31,0.4,0.049,9.4,2.9,1.7,0.5,0.5,0,41.3%,15.4%,66.7%
10,2003,New York Liberty,Molly Creamer,Bucknell,Guard,5'10,0,null,null,null,null,null,null,null,null,null,null,null,null
11,2003,San Antonio Silver Stars,Coretta Brown,UNC,Guard,5'9,4,77,0.3,0.011,15.5,4.5,1.3,1.3,0.5,0.1,34.5%,34.1%,73.7%
12,2003,Houston Comets,Allison Curtin,Tulsa,Guard,5'11,0,null,null,null,null,null,null,null,null,null,null,null,null
13,2003,Connecticut Sun,Courtney Coleman,Ohio State,null,null,1,20,0,0.011,7.1,1.8,1.1,0.1,null,null,null,null,null
14,2003,Minnesota Lynx,Teresa Edwards,Georgia,null,null,2,68,1,0.026,22.8,5.5,2.9,3.3,null,null,null,null,null
15,2003,Cleveland Rockers,Jennifer Butler,UMass,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
16,2003,Phoenix Mercury,Petra Ujhelyi,South Carolina,null,null,1,14,-0.4,-0.206,4.9,0.3,0.9,0.2,null,null,null,null,null
17,2003,New York Liberty,Erin Thorn,BYU,null,null,11,283,7,0.066,15.1,4.8,1.3,1.5,null,null,null,null,null
18,2003,Minnesota Lynx,Jordan Adams,New Mexico,null,null,1,10,0.1,0.032,9.6,3.3,2.3,0.4,null,null,null,null,null
19,2003,Houston Comets,Lori Nero,Louisville,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
20,2003,Indiana Fever,DeTrina White,LSU,null,null,2,44,0.7,0.059,11.6,2.2,3.2,0.2,null,null,null,null,null
21,2003,Washington Mystics,Zuzana Zirkova,Slovakia,null,null,1,6,0.1,0.162,5,1.8,0.3,0.2,null,null,null,null,null
22,2003,Seattle Storm,Suzy Batkovic-Brown,Valenciennes (France),null,null,2,49,1.4,0.091,12.4,5,2.5,0.6,null,null,null,null,null
23,2003,Charlotte Sting,Dana Cherry,Arkansas,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
24,2003,New York Liberty,Sonja Mallory,Georgia Tech,null,null,1,6,0,-0.035,7.3,1.7,1.7,0,null,null,null,null,null
25,2003,San Antonio Silver Stars,Ke-Ke Tardy,LSU,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
26,2003,New York Liberty,K.B. Sharp,Cincinnati,null,null,6,178,1.9,0.034,12.2,2.4,0.9,1.2,null,null,null,null,null
27,2003,Los Angeles Sparks,Schuye LaRue,Virginia,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
28,2003,Detroit Shock,Syreeta Bromfield,Michigan State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
29,2003,Minnesota Lynx,Carla Bennett,Drake University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
30,2003,Cleveland Rockers,Shaquala Williams,Oregon,null,null,1,25,0.3,0.06,9.2,2,1.3,0.8,null,null,null,null,null
31,2003,Phoenix Mercury,Telisha Quarles,Virginia,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
32,2003,Washington Mystics,Trish Juhline,Villanova,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2003,Phoenix Mercury,Marion Jones,UNC,null,null,2,47,0.1,0.01,8.6,2.6,1.3,0.5,null,null,null,null,null
34,2003,Connecticut Sun,Lindsey Wilson,Iowa State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2003,Indiana Fever,Ashley McElhiney,Vanderbilt,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
36,2003,Washington Mystics,Tamara Bowie,Ball State University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
37,2003,Seattle Storm,Chrissy Floyd,Clemson,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
38,2003,Houston Comets,Constance Jinks,UNLV,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
39,2003,New York Liberty,Nicole Kaczmarski,UCLA,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
40,2003,San Antonio Silver Stars,Brooke Armistead,Austin Peay State University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
41,2003,Houston Comets,Oxana Rakhmatulina,Russia,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
42,2003,Los Angeles Sparks,Mary Jo Noon,Purdue,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2002,Seattle Storm,Sue Bird,UConn,Guard,5'9,19,580,61.6,0.136,31.2,11.7,2.5,5.6,1.2,0.1,42.9%,39.2%,85.3%
2,2002,Detroit Shock,Swin Cash,UConn,Forward,6'1,15,479,35.6,0.106,28.1,10.7,5.3,2.4,0.8,0.5,40.7%,27.6%,75.7%
3,2002,Washington Mystics,Stacey Dales,Oklahoma,Forward,6'0,5,150,6.3,0.065,25.9,9.2,2.2,2.7,0.6,0.1,38%,34.8%,73.9%
4,2002,Washington Mystics,Asjha Jones,UConn,Forward,6'2,12,368,21,0.093,24.5,10.9,4.8,1.7,0.6,0.6,45%,27.3%,75.6%
5,2002,Portland Fire,Nikki Teasley,UNC,Guard,6'0,7,207,15.4,0.104,28.5,8.2,3,4.7,1,0.3,37.6%,37.7%,83.5%
6,2002,Minnesota Lynx,Tamika Williams,UConn,Forward,6'2 ,7,219,13.8,0.109,23.2,6.1,5.1,1,0.8,0.1,54.9%,16.1%,54.3%
7,2002,Charlotte Sting,Sheila Lambert,Baylor,Guard,5'7,4,76,-0.2,-0.006,15,4.2,1.5,1.7,0.5,0.1,39.2%,30%,78.4%
8,2002,Cleveland Rockers,Deanna Jackson,UAB,Forward,6'2,5,142,4.9,0.079,17.7,5.8,2.6,1,0.5,0.2,39.4%,33%,70.6%
9,2002,Charlotte Sting,Shaunzinski Gortman,South Carolina,Guard,5'10,4,77,0.4,0.019,11.1,2.6,1.9,0.7,0.4,0.1,37.8%,28%,77.4%
10,2002,Houston Comets,Michelle Snow,Tennessee,Center,6'5,13,402,31.5,0.133,23.6,8.4,6.2,1.1,0.7,1,50.6%,18.2%,70.4%
11,2002,Utah Starzz,Danielle Crockrom,Baylor,Forward,6'1,1,18,0.1,0.058,4.7,1.6,0.7,0.1,0,0.1,35.7%,0%,75%
12,2002,Sacramento Monarchs,Hamchetou Maiga-Ba,Old Dominion,Forward,6'2,9,275,5.7,0.05,16.5,5.3,2.4,1.1,0.9,0.2,44.1%,22.2%,60.9%
13,2002,Indiana Fever,Tawana McDonald,Georgia,Center,6'3,0,null,null,null,null,null,null,null,null,null,null,null,null
14,2002,Utah Starzz,LaNeishea Caufield,Oklahoma,Guard,5'9,1,8,0,0.029,8.1,2.4,0.6,0.1,0.9,0,40%,55.6%,100%
15,2002,Miami Sol,Tamara Moore,Wisconsin,Guard,5'10,6,145,4.8,0.085,15.7,4.4,1.7,1.8,0.8,0.2,41.3%,32.5%,84.8%
16,2002,Los Angeles Sparks,Rosalind Ross,Oklahoma,Guard,5'9,0,null,null,null,null,null,null,null,null,null,null,null,null
17,2002,Indiana Fever,Zuzi Klimesova,Vanderbilt,null,null,2,12,-0.2,-0.144,3.5,0.6,0.4,0.2,null,null,null,null,null
18,2002,Detroit Shock,Lenae Williams,DePaul,null,null,1,27,-0.6,-0.138,6.6,2.7,0.7,0.1,null,null,null,null,null
19,2002,Seattle Storm,Lucienne Berthieu,Old Dominion,null,null,3,43,1,0.113,8.2,3,1.7,0.2,null,null,null,null,null
20,2002,Detroit Shock,Ayana Walker,Louisiana Tech,null,null,6,132,2,0.052,11.6,2.7,2.4,0.4,null,null,null,null,null
21,2002,Detroit Shock,Jill Chapman-Daily,Indiana,null,null,1,19,-0.1,-0.028,6.3,1.2,1.4,0,null,null,null,null,null
22,2002,Detroit Shock,Kathy Wambe,Belgium,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
23,2002,Orlando Miracle,Davalyn Cunningham,Rutgers University,null,null,1,6,-0.1,-0.259,3.5,0,0.3,0,null,null,null,null,null
24,2002,Cleveland Rockers,Brandi McCain,Florida,null,null,1,31,-0.3,-0.032,12.6,2.7,0.8,1.3,null,null,null,null,null
25,2002,Phoenix Mercury,Tootie Shaw,Wichita State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
